电视常用台,#genre#
翡翠台,p3p://167.114.175.6:55331/66c04cec000a20ac2dbf03c71cf661c9
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3&token=512df05ba47edb46400575c93e179adb7981226d414516400ed1d382cb126adc517715d4ccd3a2276bf3c7b72d52f58905225cf0b1cc461b7888443f
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,https://cdn3.163189.xyz/live/fct/stream.m3u8
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
無線新聞台,p3p://167.114.175.6:55331/66c9c0df00016a4852abc2d358ee0ccb
無線新聞台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
無線新聞台,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
無線新聞台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
無線新聞台,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
鳳凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
CCTV-4中文國際,http://132.226.28.249:88/kzb.php?id=cctv4
中天新聞台,http://s1.an94tv.cfd/zhongtian/CH-0/AKTV.m3u8
黃金翡翠台,p3p://167.114.175.6:55331/653e49c20006c60f0c8397f7771b1b7b
大灣區衛視,http://132.226.28.249:88/crtn.php?u=https://tx-gjlizhi.gdtv.cn/live/gdgj&t=1753220801&s=1752779004&d=4&o=0
大灣區衛視,http://132.226.28.249:88/crtn.php?u=https://tx-gjlizhi.gdtv.cn/live/gdgj&t=1753717011&s=1752903057&d=4&o=0
廣東珠江台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=gdzj
廣東珠江台,http://cdn2.163189.xyz/live/gdzj/stream.m3u8
廣東珠江台,https://pixman.mytvsuper.com.mp/Smart.php?id=zhujiang
美亞電影台(HK),p3p://167.114.175.6:55331/655f8ccc0007d2578e70f934113a2428
美亞電影台(HK),http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
美亞電影台(HK),http://php.jdshipin.com/TVOD/iptv.php?id=meiya
千禧經典台,p3p://167.114.175.6:55331/5fdee1a2000b5fba6d93e51308cb7ddf
千禧經典台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc



电视其它台,#genre#
CCTV-1综合,http://132.226.28.249:88/kzb.php?id=cctv1
CCTV-3综艺,http://132.226.28.249:88/kzb.php?id=cctv3
CCTV-5体育,http://132.226.28.249:88/kzb.php?id=cctv5
廣東體育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
廣東體育,http://cdn2.163189.xyz/live/gdty/stream.m3u8
廣東衛視,http://132.226.28.249:88/kzb.php?id=gdws
廣東衛視,https://hkcozztm28w4tku.wcetv.com/hls/gdsatellite.m3u8
東方衛視,http://132.226.28.249:88/kzb.php?id=dfws
江蘇衛視,http://132.226.28.249:88/kzb.php?id=jsws
大灣區衛視,http://132.226.28.249:88/move/srp1251.mp4
大灣區衛視,http://132.226.28.249:88/move/srp1253.mp4
大灣區衛視,http://132.226.28.249:88/move/srp1239.mp4
大灣區衛視,https://cc1.wcetv.com/tablet/srp/video/srp1262.mp4
不能说的秘密（上),https://vod.gdtv.cn/m3u8/202503/174108518672.m3u8
不能说的秘密（下),https://vod.gdtv.cn/m3u8/202503/174108518533.m3u8
偷窥风波（上),https://vod.gdtv.cn/m3u8/202503/174109899332.m3u8
偷窥风波（下),https://vod.gdtv.cn/m3u8/202503/174109899450.m3u8
不请自来A,https://vod.gdtv.cn/m3u8/202412/173306950831.m3u8
不请自来B,https://vod.gdtv.cn/m3u8/202412/173306952938.m3u8
边缘人（上),https://vod.gdtv.cn/m3u8/202503/174092720341.m3u8
边缘人（下),https://vod.gdtv.cn/m3u8/202503/174092723038.m3u8
test1,https://europe.olemovienews.com/ts1/20200516/HuHFHnxf/mp4/HuHFHnxf.mp4/index-v1-a1.m3u8

💝七十二家方客,#genre#
心魔(上),https://vod.gdtv.cn/m3u8/202503/174084444935.m3u8
心魔(下),https://vod.gdtv.cn/m3u8/202503/174084448129.m3u8
姜埋奶(上),https://vod.gdtv.cn/m3u8/202503/174075419124.m3u8
姜埋奶(下),https://vod.gdtv.cn/m3u8/202503/174075419232.m3u8
筹码(上),https://vod.gdtv.cn/m3u8/202503/174066766913.m3u8
筹码(下),https://vod.gdtv.cn/m3u8/202503/174066767737.m3u8
闹剧(上),https://vod.gdtv.cn/m3u8/202503/174053529932.m3u8
闹剧(下),https://vod.gdtv.cn/m3u8/202503/174053528157.m3u8
女人心计(上),https://vod.gdtv.cn/m3u8/202503/174040779195.m3u8
女人心计(下),https://vod.gdtv.cn/m3u8/202503/174040779248.m3u8
过房儿子(上),https://vod.gdtv.cn/m3u8/202503/174032352414.m3u8
过房儿子(下),https://vod.gdtv.cn/m3u8/202503/174032350413.m3u8
回家之路,http://132.226.28.249:88/move/srp1252.mp4
军队之光,http://132.226.28.249:88/move/srp1251.mp4
新养女,http://132.226.28.249:88/move/srp1250.mp4
天赐孩儿,http://132.226.28.249:88/move/srp1249.mp4
木雕古董,http://132.226.28.249:88/move/srp1248.mp4
美丽师徒,http://132.226.28.249:88/move/srp1247.mp4
底线,http://132.226.28.249:88/move/srp1246.mp4
人鬼难辨,http://132.226.28.249:88/move/srp1245.mp4
赵家大小姐,http://132.226.28.249:88/move/srp1244.mp4
大哥的女人,http://132.226.28.249:88/move/srp1243.mp4
